ID,Modul,Tests,Status
V173-REL-010,package.json Workspace-Pakete und scripts/verify_requirements.py,Requirements- und Versionsverifikation,umgesetzt
V173-FID-010,apps/web/src/fids-display.tsx FeatureRouter.tsx und EventScopedApplication.tsx,fids-display-ui.test.ts und Browser-Konzeptvergleich,umgesetzt
V173-PRI-010,apps/worker/src/index.ts,public-board-priority.test.ts und Mehrressourcen-Abnahme,umgesetzt
V173-LAY-010,apps/web/src/fids-display.tsx und features/fids/fids-v12.css,fids-display-ui.test.ts fids-v12.test.ts und Viewport-Abnahme,umgesetzt
V173-SET-010,apps/web/src/features/fids/FidsSettingsDialog.tsx und fids-view.tsx,fids-display-ui.test.ts und Dialog-Browserabnahme,umgesetzt
V173-AUT-010,packages/contracts apps/worker/src/auth.ts apps/worker/src/index.ts und Web-Navigation,Contract- Domain- Auth- Navigations- und Autorisierungstests,umgesetzt
V173-SES-010,apps/worker/src/auth.ts und Loginroute,auth.test.ts und Sitzungswiderrufstests,umgesetzt
V173-API-010,packages/contracts/src/index.ts apps/worker/src/index.ts und apps/web/src/api.ts,Contract- und fids-preferences.test.ts,umgesetzt
V173-DAT-010,apps/worker/src/event-coordinator.ts event-deletion.ts und factory-reset.ts,fids-preferences.test.ts event-deletion.test.ts factory-reset.test.ts,umgesetzt
V173-OPS-010,apps/worker/migrations/0041_fids_display_accounts_and_preferences.sql und docs/operations,SQLite-Migrationsintegration und Backup-Dokumentationsprüfung,umgesetzt
V173-QA-010,Workspace-Test- und Buildskripte sowie docs/ui/v1.7.3-fids-concept.md,Vollständiger Check und Browserabnahme,umgesetzt
